link,title
https://finance.yahoo.com/m/0becca4b-286a-35a4-8686-7b8e87bdc8c3/nautilus-stock-trades-higher.html,Nautilus Stock Trades Higher After Research Firm Points to Zoom-Like Growth
https://finance.yahoo.com/m/90ed0424-fdcc-3197-b708-de9456d52c43/what-s-next-for-pandemic.html,What's Next for Pandemic Necessity Zoom Video?
