Date,Open,High,Low,Close*,Adj Close**,Volume,3day_before_change
"Jun 24, 2020",167.41,172.21,163.73,163.91,163.91,"5,546,100",1.0005941770647653
"Jun 23, 2020",170.34,171.20,165.39,166.80,166.80,"6,113,700",-
"Jun 22, 2020",164.33,169.85,163.49,168.30,168.30,"5,687,700",-
"Jun 19, 2020",163.07,165.00,160.00,161.42,161.42,"14,150,300",1.0426217321273696
"Jun 18, 2020",161.71,163.60,160.41,162.30,162.30,"5,971,900",0.9900030665440047
"Jun 17, 2020",164.27,167.87,160.93,161.71,161.71,"6,208,100",0.9976028028766366
"Jun 16, 2020",164.94,165.08,158.18,163.05,163.05,"5,554,100",-
"Jun 15, 2020",154.88,163.70,152.86,162.69,162.69,"8,193,800",-
"Jun 12, 2020",152.06,155.14,146.28,150.60,150.60,"3,983,600",1.0802788844621514
"Jun 11, 2020",145.00,154.00,144.29,148.90,148.90,"5,593,900",1.0611612175873733
"Jun 10, 2020",144.50,149.94,143.66,148.05,148.05,"4,206,300",1.0161048177971885
"Jun 09, 2020",145.41,146.05,140.34,141.92,141.92,"4,231,200",-
"Jun 08, 2020",136.99,147.07,135.42,146.54,146.54,"4,928,400",-
"Jun 05, 2020",139.82,144.95,131.26,139.64,139.64,"8,238,800",1.049412775708966
"Jun 04, 2020",147.75,148.64,138.54,140.06,140.06,"8,408,800",0.9455579631635969
"Jun 03, 2020",146.86,150.57,145.22,147.45,147.45,"4,485,000",0.9513653036272246
"Jun 02, 2020",151.97,152.00,141.03,147.68,147.68,"7,561,700",-
"Jun 01, 2020",142.35,150.58,140.45,147.22,147.22,"6,854,300",-
"May 29, 2020",130.03,141.43,129.90,139.74,139.74,"8,932,600",1.0535279805352797
"May 28, 2020",126.75,132.13,126.54,127.80,127.80,"4,278,100",1.083675843350136
"May 27, 2020",126.65,127.46,118.21,126.54,126.54,"4,472,700",-
"May 26, 2020",136.01,136.04,126.50,128.95,128.95,"4,884,900",-
"May 22, 2020",136.17,136.18,131.64,133.00,133.00,"2,937,600",-
"May 21, 2020",132.00,136.29,131.08,132.85,132.85,"4,879,000",1.0454331080018866
"May 20, 2020",130.00,134.74,127.33,128.77,128.77,"4,327,900",1.0807842499186462
"May 19, 2020",124.14,130.36,123.39,127.22,127.22,"2,963,700",-
"May 18, 2020",126.78,128.46,121.61,122.92,122.92,"3,901,600",-
"May 15, 2020",121.75,126.28,121.47,125.88,125.88,"2,596,200",0.9764855417858278
"May 14, 2020",118.30,123.49,117.11,122.01,122.01,"3,045,300",1.0467320804922666
"May 13, 2020",121.11,124.28,115.57,119.07,119.07,"3,581,100",1.0112722751761294
"May 12, 2020",122.00,123.79,118.12,120.26,120.26,"2,618,800",-
"May 11, 2020",117.68,121.84,117.50,120.65,120.65,"4,240,800",-
"May 08, 2020",118.48,120.90,115.66,116.56,116.56,"3,157,300",1.035089224433768
"May 07, 2020",117.38,119.54,115.11,117.70,117.70,"3,750,900",1.0659350708733426
"May 06, 2020",110.88,116.00,110.88,115.49,115.49,"2,984,200",1.099178184534927
"May 05, 2020",109.00,111.76,107.36,109.35,109.35,"2,006,100",-
"May 04, 2020",103.43,108.96,103.16,107.08,107.08,"2,089,200",-
"May 01, 2020",103.19,105.48,101.88,103.52,103.52,"1,431,200",1.0343894899536321
"Apr 30, 2020",103.59,107.85,103.29,104.75,104.75,"2,305,400",0.9959592072349432
"Apr 29, 2020",103.42,105.42,100.71,103.40,103.40,"3,220,700",0.9676674364896074
"Apr 28, 2020",109.52,111.36,103.30,103.94,103.94,"2,910,500",-
"Apr 27, 2020",106.71,109.45,106.20,108.25,108.25,"2,462,600",-
"Apr 24, 2020",103.25,105.44,100.11,105.07,105.07,"2,934,000",1.0302655372608738
"Apr 23, 2020",101.83,104.30,100.50,102.19,102.19,"2,624,400",1.0577871740662437
"Apr 22, 2020",100.71,102.48,98.25,101.79,101.79,"2,746,200",1.0038310412573674
"Apr 21, 2020",102.25,103.06,96.55,99.33,99.33,"2,885,500",-
"Apr 20, 2020",101.37,103.45,100.60,101.80,101.80,"2,576,900",-
"Apr 17, 2020",99.43,102.07,96.79,100.35,100.35,"2,906,300",1.014449427005481
"Apr 16, 2020",102.90,105.15,99.01,100.68,100.68,"4,618,800",1.019506248095093
"Apr 15, 2020",97.93,101.50,95.92,100.53,100.53,"2,883,500",1.0714057677982336
"Apr 14, 2020",95.69,99.65,95.04,98.43,98.43,"3,830,300",-
"Apr 13, 2020",91.44,94.96,90.04,93.97,93.97,"3,264,900",-
"Apr 09, 2020",89.00,91.38,86.13,90.63,90.63,"3,370,500",-
"Apr 08, 2020",88.99,90.65,85.84,88.37,88.37,"2,399,100",1.005324459234609
"Apr 07, 2020",90.91,91.04,86.01,87.97,87.97,"3,167,900",-
"Apr 06, 2020",81.63,90.48,80.55,90.15,90.15,"5,594,100",-
"Apr 03, 2020",84.26,85.93,78.72,79.00,79.00,"4,043,600",1.1411392405063292
"Apr 02, 2020",92.45,93.95,82.61,84.04,84.04,"4,900,900",0.854978354978355
"Apr 01, 2020",90.82,95.63,88.75,92.09,92.09,"4,680,800",0.9534830950760155
"Mar 31, 2020",88.08,98.38,87.92,92.40,92.40,"7,079,300",-
"Mar 30, 2020",83.98,89.29,83.20,88.14,88.14,"4,910,900",-
"Mar 27, 2020",83.06,83.09,79.74,82.57,82.57,"3,329,600",1.0674579144967906
"Mar 26, 2020",82.02,84.82,81.27,83.66,83.66,"3,292,100",0.9714117647058823
"Mar 25, 2020",85.00,86.70,80.25,81.37,81.37,"2,700,100",1.0019161676646706
"Mar 24, 2020",88.00,88.27,84.06,85.00,85.00,"4,768,400",-
"Mar 23, 2020",80.01,87.00,79.59,83.50,83.50,"4,712,100",-
"Mar 20, 2020",77.00,82.06,75.31,79.70,79.70,"6,081,200",1.0476787954830615
"Mar 19, 2020",76.53,83.46,74.52,75.88,75.88,"5,673,500",1.1234846349027348
"Mar 18, 2020",66.80,77.19,65.61,76.61,76.61,"4,420,500",1.0493707647628265
"Mar 17, 2020",73.07,75.63,68.52,70.94,70.94,"5,056,800",-
"Mar 16, 2020",68.88,85.75,66.12,72.31,72.31,"7,015,000",-
"Mar 13, 2020",75.02,79.59,70.02,77.32,77.32,"6,006,400",0.9352043455768237
"Mar 12, 2020",68.35,71.70,64.88,68.68,68.68,"4,354,300",0.9686795289401152
"Mar 11, 2020",78.54,80.35,74.06,75.00,75.00,"2,708,400",0.8847095195156514
"Mar 10, 2020",80.00,80.00,75.30,79.82,79.82,"2,337,500",-
"Mar 09, 2020",77.18,80.97,75.25,77.63,77.63,"3,110,400",-
"Mar 06, 2020",87.10,87.78,81.25,84.02,84.02,"2,573,800",0.9239466793620567
"Mar 05, 2020",88.07,90.74,87.66,88.60,88.60,"2,102,500",0.9791399603775783
"Mar 04, 2020",87.48,89.55,85.87,89.55,89.55,"1,988,400",1.0072760345611642
"Mar 03, 2020",87.77,88.37,83.50,85.81,85.81,"1,965,200",-
"Mar 02, 2020",87.39,88.54,84.81,87.96,87.96,"2,521,300",-
"Feb 28, 2020",80.11,86.88,79.89,86.31,86.31,"3,016,000",1.019117135905457
"Feb 27, 2020",80.19,86.44,76.18,83.21,83.21,"2,854,900",1.0391283409583434
"Feb 26, 2020",83.12,86.46,82.83,83.58,83.58,"1,908,100",0.9634132221836285
"Feb 25, 2020",87.39,88.09,82.67,83.06,83.06,"1,962,700",-
"Feb 24, 2020",83.61,87.00,80.14,86.37,86.37,"2,206,500",-
"Feb 21, 2020",89.99,91.11,87.08,88.73,88.73,"2,238,700",0.9734024568916939
"Feb 20, 2020",91.78,92.52,87.51,90.31,90.31,"1,806,300",0.9776333186425739
"Feb 19, 2020",91.68,92.55,90.86,91.49,91.49,"1,599,500",-
"Feb 18, 2020",88.83,91.02,88.50,90.76,90.76,"1,167,800",-
"Feb 14, 2020",88.43,89.60,88.00,89.41,89.41,"1,122,300",-
"Feb 13, 2020",87.11,88.48,86.92,88.03,88.03,"1,770,400",1.0478143677487401
