Date,Open,High,Low,Close*,Adj Close**,Volume,3day_before_change
"Aug 04, 2020",11.41,11.70,11.32,11.57,11.57,"1,920,000",-
"Aug 03, 2020",11.25,11.64,11.22,11.51,11.51,"3,437,600",-
"Jul 31, 2020",11.41,11.42,10.99,11.27,11.27,"3,848,500",1.0212954747116239
"Jul 30, 2020",11.30,11.43,11.08,11.36,11.36,"2,919,100",1.0134892086330936
"Jul 29, 2020",11.29,11.54,11.26,11.48,11.48,"2,558,500",0.989547038327526
"Jul 28, 2020",11.42,11.46,11.12,11.12,11.12,"2,713,200",-
"Jul 27, 2020",11.49,11.49,11.14,11.48,11.48,"3,212,200",-
"Jul 24, 2020",11.36,11.55,11.19,11.39,11.39,"4,355,300",1.0079016681299384
"Jul 23, 2020",11.65,11.95,11.37,11.54,11.54,"4,896,300",0.9878577623590634
"Jul 22, 2020",11.55,11.88,11.53,11.70,11.70,"3,629,300",0.9787955894826124
"Jul 21, 2020",11.94,11.99,11.49,11.53,11.53,"4,318,900",-
"Jul 20, 2020",11.55,11.81,11.35,11.79,11.79,"3,262,400",-
"Jul 17, 2020",11.54,11.65,11.33,11.55,11.55,"2,725,800",1.0207792207792206
"Jul 16, 2020",11.35,11.73,11.24,11.48,11.48,"4,797,700",0.9991349480968859
"Jul 15, 2020",11.58,11.63,11.39,11.57,11.57,"4,085,500",1.0114537444933922
"Jul 14, 2020",11.21,11.61,10.97,11.56,11.56,"5,627,300",-
"Jul 13, 2020",12.45,12.56,11.34,11.35,11.35,"8,332,700",-
"Jul 10, 2020",12.24,12.66,12.21,12.40,12.40,"5,813,800",0.9153225806451613
"Jul 09, 2020",12.60,12.68,11.91,12.28,12.28,"5,053,200",1.0464135021097047
"Jul 08, 2020",11.91,12.52,11.90,12.50,12.50,"7,885,800",1.0319327731092436
"Jul 07, 2020",11.81,12.32,11.78,11.85,11.85,"5,019,100",-
"Jul 06, 2020",12.45,12.53,11.76,11.90,11.90,"7,576,800",-
"Jul 02, 2020",12.53,12.74,12.22,12.27,12.27,"5,367,400",-
"Jul 01, 2020",12.70,12.82,12.31,12.38,12.38,"5,519,300",0.9467592592592592
"Jun 30, 2020",12.87,12.98,12.55,12.72,12.72,"8,050,700",-
"Jun 29, 2020",13.50,13.58,12.73,12.96,12.96,"7,679,000",-
"Jun 26, 2020",13.13,13.79,12.84,13.69,13.69,"18,465,400",0.9466764061358657
